title	context
Joselito Dapuppet stand up comedy show in Worcester, MA	"The most popular comedy event called ""Joselito Dapuppet stand up comedy show in Worcester, MA"" is happening in Boston this weekend at Saturday • 8:00 PM and is hosted at ""Loft 266"" and by ""puppetwave entertainment"" with the ticket price: Starts at $25.00."
Joselito Dapuppet stand up comedy show in Worcester, MA.	To find more information about the comedy event called Joselito Dapuppet stand up comedy show in Worcester, MA, follow this link: https://www.eventbrite.com/e/joselito-dapuppet-stand-up-comedy-show-in-worcester-ma-tickets-642237699247?aff=ebdssbcategorybrowse
Saturday Night Trivia at Shipyard Brewpub in Eliot Maine	"The most popular comedy event called ""Saturday Night Trivia at Shipyard Brewpub in Eliot Maine"" is happening in Boston this weekend at Saturday • 7:00 PM and is hosted at ""Shipyard Brew Pub Eliot"" and by ""Game Time Trivia"" with the ticket price: Free."
Saturday Night Trivia at Shipyard Brewpub in Eliot Maine.	To find more information about the comedy event called Saturday Night Trivia at Shipyard Brewpub in Eliot Maine, follow this link: https://www.eventbrite.com/e/saturday-night-trivia-at-shipyard-brewpub-in-eliot-maine-tickets-440641469497?aff=ebdssbcategorybrowse
Comedy Night at Priam Vineyards	"The most popular comedy event called ""Comedy Night at Priam Vineyards"" is happening in Boston this weekend at Saturday • 7:00 PM and is hosted at ""Priam Vineyards"" and by ""Comedy Craft Beer"" with the ticket price: Starts at $35.00."
Comedy Night at Priam Vineyards.	To find more information about the comedy event called Comedy Night at Priam Vineyards, follow this link: https://www.eventbrite.com/e/comedy-night-at-priam-vineyards-tickets-625346567417?aff=ebdssbcategorybrowse
Comedy Night at City Steam	"The most popular comedy event called ""Comedy Night at City Steam"" is happening in Boston this weekend at Saturday • 8:00 PM and is hosted at ""City Steam Brewery"" and by ""Comedy Craft Beer"" with the ticket price: Starts at $25.00."
Comedy Night at City Steam.	To find more information about the comedy event called Comedy Night at City Steam, follow this link: https://www.eventbrite.com/e/comedy-night-at-city-steam-tickets-614289746167?aff=ebdssbcategorybrowse
VENU AFTER DARK (TE)	"The most popular DJ and dance event called ""VENU AFTER DARK (TE)"" is happening in Boston this weekend at Sunday • 10:00 PM and is hosted at ""Venu Nightclub"" and by ""The Enterprise MA"" with the ticket price: Free."
VENU AFTER DARK (TE).	To find more information about the DJ and dance event called VENU AFTER DARK (TE), follow this link: https://www.eventbrite.com/e/venu-after-dark-te-tickets-650985353717?aff=ebdssbcategorybrowse
The Gathering Ft. Where's Nasty + Dj Dymand	"The most popular DJ and dance event called ""The Gathering Ft. Where's Nasty + Dj Dymand"" is happening in Boston this weekend and is hosted at ""Shojo"" and by ""AllYouCanEat LLC"" with the ticket price: Starts at $20.00."
The Gathering Ft. Where's Nasty + Dj Dymand.	To find more information about the DJ and dance event called The Gathering Ft. Where's Nasty + Dj Dymand, follow this link: https://www.eventbrite.com/e/the-gathering-ft-wheres-nasty-dj-dymand-tickets-678850739837?aff=ebdssbcategorybrowse
Luau Saturdays at Tiki Rock	"The most popular DJ and dance event called ""Luau Saturdays at Tiki Rock"" is happening in Boston this weekend at Saturday • 9:00 PM and is hosted at ""Tiki Rock"" and by ""Tiki Rock"" with the ticket price: Free."
Luau Saturdays at Tiki Rock.	To find more information about the DJ and dance event called Luau Saturdays at Tiki Rock, follow this link: https://www.eventbrite.com/e/luau-saturdays-at-tiki-rock-tickets-669833308457?aff=ebdssbcategorybrowse
DJ Modnyy Night @ The Greatest Bar	"The most popular DJ and dance event called ""DJ Modnyy Night @ The Greatest Bar"" is happening in Boston this weekend at Saturday • 8:30 PM and is hosted at ""The Greatest Bar"" and by ""Boston VIP List"" with the ticket price: Starts at $5.00."
DJ Modnyy Night @ The Greatest Bar.	To find more information about the DJ and dance event called DJ Modnyy Night @ The Greatest Bar, follow this link: https://www.eventbrite.com/e/dj-modnyy-night-the-greatest-bar-tickets-679642096807?aff=ebdssbcategorybrowse
STATUS SATURDAYS @ ICON	"The most popular DJ and dance event called ""STATUS SATURDAYS @ ICON"" is happening in Boston this weekend at Saturday • 10:00 PM and is hosted at ""Icon Nightclub"" and by ""Dope Entertainment"" with the ticket price: Starts at $0.00."
STATUS SATURDAYS @ ICON.	To find more information about the DJ and dance event called STATUS SATURDAYS @ ICON, follow this link: https://www.eventbrite.com/e/status-saturdays-icon-tickets-681165052007?aff=ebdssbcategorybrowse
Batucada na Rua / Beats in the Street	"The most popular DJ and dance event called ""Batucada na Rua / Beats in the Street"" is happening in Boston this weekend at Sunday • 1:00 PM and is hosted at ""880 Memorial Dr"" and by ""A Trike Called Funk"" with the ticket price: Free."
Batucada na Rua / Beats in the Street.	To find more information about the DJ and dance event called Batucada na Rua / Beats in the Street, follow this link: https://www.eventbrite.com/e/batucada-na-rua-beats-in-the-street-tickets-680799368237?aff=ebdssbcategorybrowse
Back Yawd Jam	"The most popular DJ and dance event called ""Back Yawd Jam"" is happening in Boston this weekend at Saturday • 5:00 PM and is hosted at ""Randolph"" and by ""Zombies ENT"" with the ticket price: Starts at $10.00."
Back Yawd Jam.	To find more information about the DJ and dance event called Back Yawd Jam, follow this link: https://www.eventbrite.com/e/back-yawd-jam-tickets-676156481237?aff=ebdssbcategorybrowse
